Team,Country
APOEL,Cyprus
Arsenal,England
Atlético Madrid,Spain
Barcelona,Spain
Basel,Switzerland
Bayer Leverkusen,Germany
Bayern Munich,Germany
Benfica,Portugal
Borussia Dortmund,Germany
Celtic,Scotland
Chelsea,England
Copenhagen,Denmark
CSKA Moscow,Russia
Galatasary,Turkey
Internazionale,Italy
Juventus,Italy
Lyon,France
Málaga,Spain
Manchester City,England
Manchester United,England
Marseille,France
Milan,Italy
Monaco,France
Napoli,Italy
Olympiacos,Greece
Paris Saint-German,France
Porto,Portugal
Real Madrid,Spain
Roma,Italy
Schalke 04,Germany
Shakhtar Donetsk,Ukraine
Tottenham Hotspur,England
Valencia,Spain
Zenit Saint Petersberg,Russia
